Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
208,DYNT,268157401,12.8,0.2,0.3,-0.5
209,DYSL,268102100,13.6,0.5,0.7,-0.2
210,PKI,714046109,-1788.4,0.3,0.2,115.8
211,EML,276317104,-76.5,0.2,0.2,5.7
212,ETN,G29183103,-6787.5,0.3,0.3,953.5
213,ECL,278865100,-3910.9,0.3,0.1,502.6
214,EDUC,281479105,34.9,0,0,1.7
215,ESIO,285229100,47.6,0.1,0,-4.7
216,ELSE,285233102,-14.8,0,0,0.9
217,ELRNF,290160100,146.8,0.1,0.2,5.4
218,EMR,291011104,2736.2,0.2,0.1,1745.9
219,WFT,G48833100,8960,0.4,0.4,66.9
220,EBF,293389102,-467.4,0.2,0.2,19.9
221,ENZN,293904108,-751.7,5.2,0.5,21
222,ETCC,294092101,-65.6,0.5,0.9,-1.1
223,ENZ,294100102,-193.6,0,0,-9.2
224,EFX,294429105,7579.5,0.6,0.2,259.3
225,ESCA,296056104,57.4,0.1,0.1,7.3
226,ESP,296650104,26.4,0,0,2.3
227,ESL,297425100,852.8,0.3,0.4,80.7
228,NEU,651587107,213.8,0.5,0.9,114.2
229,ESCC,299096107,-119,0.2,2.4,-10.1
230,KINS,496719105,82.6,0.2,0.4,1.5
231,EXPD,302130109,3713.6,0,0,261.1
232,BOOM,23291C103,-7.1,0.3,0.4,6.7
233,IIIN,45774W108,-201.7,0.3,2.7,9.2
234,XOM,30231G102,43287.5,0,0,29358.1
235,FMC,302491303,-768.1,0.4,0.3,186.5
236,FARM,307675108,190.4,0,0,0.1
237,FDX,31428X106,25550.6,0.2,0.1,1290.8
238,RUSMF,781903604,-16.6,0.3,0.5,74.7
239,FSCR,313819104,20.2,0.2,1.5,0.2
240,FSS,313855108,204.5,0.4,0.4,15.5
241,M,55616P104,-856.2,0.5,0.7,506.4
242,FOE,315405100,-152.7,0.5,0.6,-3.3
243,CLBS,128058203,240.9,-0.4,0.1,-22.5
244,FCIC,30246C104,-10.5,0,0,0
245,BDL,338517105,19,0.2,0.4,1.5
246,MALJF,558912200,-449.4,0.2,1.1,26.3
247,FLXS,339382103,-61,0,0.1,9.3
248,FLO,343498101,-1475,0.2,0.1,94.9
249,FLR,343412102,10726,0.1,0,379.9
250,FONR,344437405,-85.5,0.1,0.1,-6.4
251,F,345370860,81881.2,1,5.8,1582.4
252,FSTR,350060109,180.7,0.2,0.4,15.1
253,FELE,353514102,137.3,0.2,0.1,47.8
254,FRD,358435105,38.8,0,0,4.4
255,FUL,359694106,571.8,0.3,0.2,69.7
256,GATX,361448103,-3022.5,1.3,1.9,123.3
257,AJG,363576109,2764.1,0.1,0.1,164
258,TGNA,87901J105,-12598.8,0.6,0.6,424.3
259,GPS,364760108,-242.1,0.2,0.1,934.6
260,AJRD,7800105,1518.1,0.6,0.9,-7.6
261,GNDIF,368684106,288.6,0,0.1,-0.9
